CAT_Level_1,CAT_Level_2,CWD,Language
CAT-0002 输入校验,,CWD-1064 Hook函数的入参验证不当,"C,CPP,JAVA,JAVASCRIPT"
CAT-0002 输入校验,,CWD-1065 跨站请求伪造（CSRF）,"JAVA,JAVASCRIPT,TYPESCRIPT"
CAT-0002 输入校验,,CWD-1066 服务器请求伪造（SSRF）,"JAVA,JAVASCRIPT,TYPESCRIPT"
CAT-0002 输入校验,,CWD-1622 输入的语法合法性验证不当,"CPP,JAVA"
CAT-0003 注入,CAT-0020 命令注入,CWD-1068 OS命令注入,"C,CPP,JAVA"
CAT-0003 注入,CAT-0020 命令注入,CWD-1069 参数注入,"C,CPP,JAVA"
CAT-0003 注入,CAT-0020 命令注入,CWD-1070 正则表达式注入,"JAVA,PYTHON"
CAT-0003 注入,CAT-0020 命令注入,CWD-1071 表达式语言注入,JAVA
CAT-0003 注入,CAT-0020 命令注入,CWD-1072 邮件命令注入,JAVA
CAT-0003 注入,,CWD-1073 XSS注入,"JAVA,JSP,PHP"
CAT-0003 注入,,CWD-1081 XML注入,"JAVA,GO,JAVASCRIPT,TYPESCRIPT"
CAT-0003 注入,,CWD-1082 XPath注入,JAVA
CAT-0003 注入,,CWD-1083 XQuery注入,JAVA
CAT-0003 注入,,CWD-1084 XSLT注入,JAVA
CAT-0003 注入,,CWD-1085 JSON注入,JAVA
CAT-0003 注入,,CWD-1086 CRLF注入,JAVA
CAT-0003 注入,,CWD-1089 日志输出中和不当（“日志注入”）,"JAVA,GO,JAVASCRIPT,TYPESCRIPT"
CAT-0003 注入,CAT-0022 代码注入,CWD-1094 动态代码注入（“Eval注入”）,"JAVA,PYTHON"
CAT-0003 注入,CAT-0022 代码注入,CWD-1095 静态代码注入,JAVA
CAT-0003 注入,CAT-0022 代码注入,CWD-1096 模板注入,JAVA
CAT-0003 注入,CAT-0023 资源注入,CWD-1098 文件和其他资源的名称限制不当,JAVA
CAT-0003 注入,CAT-0023 资源注入,CWD-1099 使用具有重复标识符的多个资源,"C,CPP,JAVA"
CAT-0003 注入,CAT-0023 资源注入,CWD-1100 Content Provider URI 注入,JAVA
CAT-0003 注入,,CWD-1845 JNDI注入,JAVA
CAT-0003 注入,CAT-0024 数据查询逻辑中特殊元素处理不当,CWD-1842 NoSQL注入,JAVA
CAT-0003 注入,CAT-0024 数据查询逻辑中特殊元素处理不当,CWD-1101 SQL注入,"C,CPP,JAVA,PYTHON"
CAT-0003 注入,CAT-0024 数据查询逻辑中特殊元素处理不当,CWD-1112 LDAP注入,JAVA
CAT-0003 注入,,CWD-1113 CSV注入,JAVA
CAT-0003 注入,,CWD-1114 XML外部实体攻击（“XXE”）,"JAVA,PYTHON"
CAT-0003 注入,,CWD-1115 XML内部实体扩展（“XEE”）,JAVA
CAT-0004 并发与并行,CAT-0051 竞争条件,CWD-1117 信号处理例程中发生的竞争条件,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0051 竞争条件,CWD-1118 线程内的竞争条件,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0051 竞争条件,CWD-1119 检查时间与使用时间(TOCTOU)的竞争条件,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0051 竞争条件,CWD-1120 上下文切换竞争条件,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1122 未受限制的外部可触及的锁,JAVA
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1123 资源未被正确锁定,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1124 缺少锁定检查,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1125 双重检查锁定,JAVA
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1126 关键资源的多次锁定,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1127 关键资源的多次解锁,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1128 解锁未锁定的资源,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1129 死锁,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1611 持有锁时执行耗时或阻塞性操作,"C,CPP,JAVA"
CAT-0004 并发与并行,CAT-0052 锁定不当,CWD-1623 使用不正确的锁对象类型,"C,CPP,JAVA"
CAT-0004 并发与并行,,CWD-1130 缺少同步,"C,CPP,JAVA"
CAT-0004 并发与并行,,CWD-1132 在多线程上下文中对共享数据的非同步访问,"C,CPP,JAVA"
CAT-0004 并发与并行,,CWD-1134 同步不正确,"C,CPP,JAVA"
CAT-0004 并发与并行,,CWD-1135 在同步访问远程资源时未设置超时时间,"C,CPP,JAVA"
CAT-0004 并发与并行,,CWD-1137 并发上下文中使用不可重入函数,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0053 初始化不正确,CWD-1139 资源未初始化,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0053 初始化不正确,CWD-1843 资源初始化不正确,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0053 初始化不正确,CWD-1140 使用未初始化的资源,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1151 未受限的资源分配,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1152 缺失对已分配资源的引用,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1153 日志中记录的内容过多,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1155 高度压缩数据的处理不当,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1156 复杂度高且低效的正则表达式（正则ReDOS）,"C,CPP,JAVA,PYTHON"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1157 重复的正则预编译导致资源消耗过多,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1158 循环中资源消耗过多,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1159 在性能关键的操作中不正确地使用自动装箱和拆箱,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1160 忽视数据传递成本的函数参数与返回类型（按值、引用、指针）,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1161 资源消耗过大的线程操作,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1162 具有非常大迭代次数的循环,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1163 性能低下的字符串拼接操作,JAVA
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1164 非跨语言场景中使用ESObject标记,ARKTS
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1165 重复访问某个相同操作的表达式,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1166 单个条件扩展为多个条件导致的低效问题,"JAVA,SQL"
CAT-0005 资源管理,CAT-0054 未受控的资源消耗,CWD-1170 大数据表中的数据查询操作过多,SQL
CAT-0005 资源管理,,CWD-1171 不受信任数据的反序列化,"C,CPP,JAVA,PYTHON"
CAT-0005 资源管理,,CWD-1172 修改假定不可变数据,"C,CPP,JAVA"
CAT-0005 资源管理,,CWD-1176 protect/private成员被不正确的访问,"C,CPP,JAVA,PYTHON"
CAT-0005 资源管理,,CWD-1177 clone方法实现不正确,JAVA
CAT-0005 资源管理,,CWD-1180 创建 chroot Jail 而不改变工作目录,"C,CPP"
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1182 数值类型间转换错误,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1183 不同进制的解析错误,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1184 类型转换移除类型中的常量或易失性限定,"C,CPP"
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1185 使用不兼容类型访问资源,"C,CPP"
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1186 不合理的使用 auto 类型推导,CPP
CAT-0005 资源管理,CAT-0055 类型转换不正确,CWD-1188 大小写敏感处理不正确,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0056 资源的跨作用域引用,CWD-1190 lambda表达式使用外部的循环代码中定义的变量,"CPP,JAVA,PYTHON"
CAT-0005 资源管理,CAT-0056 资源的跨作用域引用,CWD-1191 在闭包中直接使用循环控制变量,"CPP,GO"
CAT-0005 资源管理,CAT-0057 访问已过期或关闭的资源,CWD-1193 使用已过期的资源,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0057 访问已过期或关闭的资源,CWD-1194 多次释放同一资源,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0058 资源关闭或释放不正确,CWD-1196 未在有效生命周期后释放资源,"C,CPP,JAVA,PYTHON"
CAT-0005 资源管理,CAT-0058 资源关闭或释放不正确,CWD-1197 对象的析构函数未被正确调用,CPP
CAT-0005 资源管理,CAT-0058 资源关闭或释放不正确,CWD-1198 资源创建和关闭未配对,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0058 资源关闭或释放不正确,CWD-1199 管理资源的引用计数器未被正确使用,"C,CPP"
CAT-0005 资源管理,CAT-0058 资源关闭或释放不正确,CWD-1844 未完成清理,"C,CPP,JAVA"
CAT-0005 资源管理,,CWD-1612 不安全的反射,JAVA
CAT-0005 资源管理,,CWD-1624 绑定不受限制的IP地址,"C,CPP"
CAT-0005 资源管理,,CWD-1625 将可变对象传递或返回给不受信任的域,"C,JAVA"
CAT-0005 资源管理,CAT-0059 不安全的临时文件,CWD-1627 创建具有不安全权限的临时文件,"C,CPP,JAVA"
CAT-0005 资源管理,CAT-0059 不安全的临时文件,CWD-1628 在具有不安全权限的目录中创建临时文件,"C,CPP,JAVA"
CAT-0005 资源管理,,CWD-1847 std::move使用不当,CPP
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1204 忽略异常,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1032 使用try-catch捕获NullPointerException,JAVA
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1205 抛出过于宽泛的异常,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1613 抛出过多的异常,"CPP,JAVA,PYTHON"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1206 抛出的异常为对象指针,CPP
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1207 异常携带的信息缺失,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1208 构造方法直接抛出异常,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1209 析构方法直接抛出异常,CPP
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1210 在main函数启动前或终止后抛出异常,CPP
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1212 函数返回类型不一致,"C,CPP,PYTHON,JAVASCRIPT,TYPESCRIPT"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1846 函数返回个数不一致,"PYTHON,JAVASCRIPT,TYPESCRIPT"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1213 缺少状态码或错误码,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0060 未正确抛出异常或返回错误,CWD-1214 不正确的状态码或错误码,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0061 异常情况检查不正确,CWD-1216 函数的返回值未检查,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0061 异常情况检查不正确,CWD-1217 函数的返回值检查不当,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0061 异常情况检查不正确,CWD-1218 未捕获异常,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0061 异常情况检查不正确,CWD-1220 捕获过于宽泛的异常,"CPP,JAVA"
CAT-0006 控制流管理,CAT-0062 异常情况处理不正确,CWD-1225 错误状态未作处置,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0062 异常情况处理不正确,CWD-1226 初始化失败后不退出,"C,CPP,JAVA,GO"
CAT-0006 控制流管理,CAT-0062 异常情况处理不正确,CWD-1227 finally代码块非正常结束,JAVA
CAT-0006 控制流管理,CAT-0062 异常情况处理不正确,CWD-1228 缺少自定义错误页面,JAVA
CAT-0006 控制流管理,CAT-0062 异常情况处理不正确,CWD-1629 重定向后执行(EAR),"JAVA,SHELL"
CAT-0006 控制流管理,,CWD-1230 异常继承不正确,"CPP,JAVA"
CAT-0006 控制流管理,,CWD-1231 未正确使用退出函数,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0063 不完整的比较,CWD-1234 部分字符串比较,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0063 不完整的比较,CWD-1235 多条件表达式中缺少默认分支,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0063 不完整的比较,CWD-1236 不带最小值检查的范围比较,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1237 比较时两个对象的类型不兼容,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1238 比较操作使用了错误的对象,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1244 浮点数比较方法使用错误,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0064 正则表达式定义错误,CWD-1246 正则表达式书写没有确切的边界,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0064 正则表达式定义错误,CWD-1247 正则表达式书写未转义元字符,JAVA
CAT-0006 控制流管理,,CWD-1248 操作符使用不正确,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1252 代码块定界不正确,"C,CPP"
CAT-0006 控制流管理,CAT-0065 断言使用不正确,CWD-1257 发布版本中存在可达断言,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1262 带有多个逻辑表达式的条件语句含有副作用,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0066 过度迭代,CWD-1264 未受控制的递归,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0066 过度迭代,CWD-1265 循环退出条件不可达（死循环、无限循环）,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0066 过度迭代,CWD-1266 在单线程、非阻塞上下文中使用阻塞代码,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0067 循环条件控制不正确,CWD-1268 未正确验证循环条件,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0067 循环条件控制不正确,CWD-1269 在循环中更新循环条件值,"C,CPP,JAVA"
CAT-0006 控制流管理,CAT-0067 循环条件控制不正确,CWD-1270 使用浮点变量来索引循环,"C,CPP,JAVA,GO"
CAT-0006 控制流管理,,CWD-1271 过度使用无条件跳转,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1272 switch语句中缺少的break,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1273 操作符优先级逻辑错误,"C,CPP,JAVA"
CAT-0006 控制流管理,,CWD-1274 控制语句中包含过多的条件,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1275 错误消息中包含敏感信息,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1276 调试代码中插入敏感信息,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1277 序列化类中包含敏感信息,"JAVA,GO"
CAT-0007 信息暴露,,CWD-1278 缓存中包含敏感信息,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1279 通过进程调用暴露敏感信息,"C,CPP,JAVA,JAVASCRIPT,CANGJIE,ARKTS"
CAT-0007 信息暴露,,CWD-1280 日志中包含敏感信息,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1281 在源代码中包含敏感信息,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1287 WSDL文件包含敏感信息,"JAVA,GO,JAVASCRIPT,TYPESCRIPT"
CAT-0007 信息暴露,,CWD-1288 敏感信息在存储或传输前处理不当,"C,CPP,JAVA"
CAT-0007 信息暴露,,CWD-1289 敏感信息使用完毕后未清理,"C,CPP,JAVA,GO,SHELL"
CAT-0007 信息暴露,,CWD-1292 文件描述符泄露,"C,CPP"
CAT-0007 信息暴露,,CWD-1286 持久性Cookie中包含敏感信息,JAVA
CAT-0008 数值处理,,CWD-1297 差一错误,"C,CPP,JAVA"
CAT-0008 数值处理,CAT-0068 整数溢出或回绕,CWD-1295 整数回绕,"C,CPP,JAVA,GO,RUST"
CAT-0008 数值处理,CAT-0068 整数溢出或回绕,CWD-1296 整数溢出,"C,CPP,JAVA,GO,C#"
CAT-0008 数值处理,,CWD-1298 除0错误,"C,CPP,JAVA"
CAT-0008 数值处理,,CWD-1299 整数按位偏移不正确,"C,CPP,JAVA"
CAT-0008 数值处理,,CWD-1300 多字节字符串长度计算不正确,"C,CPP"
CAT-0008 数值处理,,CWD-1302 浮点型数据精度或准确性不足,"C,CPP,JAVA"
CAT-0008 数值处理,,CWD-1304 sizeof计算错误,"C,CPP"
CAT-0008 数值处理,,CWD-1309 使用指针减法确定大小,"C,CPP"
CAT-0008 数值处理,,CWD-1310 含有变量自增或自减运算的表达式中再次引用该变量,"C,CPP,JAVA"
CAT-0008 数值处理,,CWD-1311 依赖未计算的操作数中的副作用,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1312 未遵循单一定义原则,"C,CPP,JAVA,PYTHON,JAVASCRIPT"
CAT-0009 不良实践,,CWD-1313 变量声明未遵循就近原则,"C,CPP,JAVA,PYTHON,GO,JAVASCRIPT,TYPESCRIPT,ARKTS,KOTLIN"
CAT-0009 不良实践,,CWD-1314 过于依赖全局变量,"JAVASCRIPT,TYPESCRIPT,ARKTS,LUA,PHP"
CAT-0009 不良实践,,CWD-1315 不合理的声明或定义,"TYPESCRIPT,ARKTS,PHP"
CAT-0009 不良实践,,CWD-1328 不合理的条件表达式,"ARKTS,PHP"
CAT-0009 不良实践,,CWD-1337 不合理的赋值表达式,JAVA
CAT-0009 不良实践,,CWD-1340 不合理的lambda表达式,PYTHON
CAT-0009 不良实践,,CWD-1344 不合理的模板与泛型编程,"CPP,JAVA"
CAT-0009 不良实践,,CWD-1348 预处理使用不当,"C,CPP"
CAT-0009 不良实践,,CWD-1360 头文件使用不当,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1369 包导入不当,ARKTS
CAT-0009 不良实践,,CWD-1374 类使用不当,"CANGJIE,ARKTS,PHP"
CAT-0009 不良实践,,CWD-1397 未正确编码或解码数据(Encoding Error),"CPP,JAVA,RUST"
CAT-0009 不良实践,,CWD-1403 未正确使用CGO特性,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1406 显式调用finalize(）,JAVA
CAT-0009 不良实践,,CWD-1410 封装不足,"CPP,JAVA,TYPESCRIPT"
CAT-0009 不良实践,,CWD-1414 无关代码,"JAVA,ARKTS,RUBY,PHP"
CAT-0009 不良实践,,CWD-1429 使用被禁止的代码,"JAVASCRIPT,TYPESCRIPT,ARKTS,PHP"
CAT-0009 不良实践,,CWD-1616 注解使用不当,"CPP,JAVA,TYPESCRIPT"
CAT-0009 不良实践,,CWD-1430 不合理的函数设计或使用,"JAVASCRIPT,TYPESCRIPT,RUST,ARKTS,PHP"
CAT-0009 不良实践,,CWD-1454 函数参数使用不正确,"CPP,JAVA"
CAT-0009 不良实践,,CWD-1459 代码复杂度过高,"ARKTS,PHP"
CAT-0009 不良实践,,CWD-1468 数据复杂度过高,"CPP,JAVA"
CAT-0009 不良实践,,CWD-1473 不合理的日志信息记录,"C,CPP,JAVA,PYTHON,SHELL,ARKTS"
CAT-0009 不良实践,,CWD-1484 在JS文件中使用JSX语法而不进行正确的编译或转换,JAVASCRIPT
CAT-0009 不良实践,,CWD-1485 使用已过时或弃用方法,"JAVASCRIPT,TYPESCRIPT,ARKTS,LUA,PHP"
CAT-0009 不良实践,,CWD-1487 发布版本中包含调试代码,"JAVASCRIPT,TYPESCRIPT,SHELL,ARKTS,PHP"
CAT-0009 不良实践,,CWD-1488 违反对象模型：只定义了Equals和Hashcode中的一个,JAVA
CAT-0009 不良实践,,CWD-1491 在自动生成的代码中依赖指定的运行时组件,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1492 未考虑平台差异性,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1498 使用与平台相关的第三方组件,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1500 程序依赖于存在漏洞的第三方组件,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1502 不合理的测试用例,"CPP,JAVA,PYTHON,GO,TYPESCRIPT,SHELL,ARKTS,RUBY"
CAT-0009 不良实践,,CWD-1503 使用告警抑制器来抑制工具检测,PYTHON
CAT-0009 不良实践,,CWD-1504 SHELL不良实践,SHELL
CAT-0009 不良实践,,CWD-1513 LUA不良实践,LUA
CAT-0009 不良实践,,CWD-1530 SQL不良实践,"JAVA,ARKTS,SQL"
CAT-0009 不良实践,,CWD-1538 VUE不良实践,"JAVA,JAVASCRIPT,TYPESCRIPT,SQL"
CAT-0009 不良实践,,CWD-1544 RUBY不良实践,RUBY
CAT-0009 不良实践,,CWD-1547 KOTLIN不良实践,KOTLIN
CAT-0009 不良实践,,CWD-1549 XML不良实践,XML
CAT-0009 不良实践,,CWD-1552 FILE不良实践,FILE
CAT-0009 不良实践,,CWD-1618 YANG不良实践,YANG
CAT-0009 不良实践,,CWD-1619 REACT不良实践,"JAVASCRIPT,TYPESCRIPT"
CAT-0009 不良实践,,CWD-1620 YAML不良实践,JAVA
CAT-0009 不良实践,,CWD-1553 补丁不良实践,FILE
CAT-0009 不良实践,,CWD-1617 配置不良实践,"JAVASCRIPT,TYPESCRIPT,PHP"
CAT-0009 不良实践,,CWD-1639 可序列化数据中包含不可序列化项,"C,CPP,JAVA"
CAT-0009 不良实践,,CWD-1640 数据库事务不良实践,"JAVA,PYTHON"
CAT-0009 不良实践,,CWD-1167 使用低效的API接口,JAVA
CAT-0009 不良实践,,CWD-1168 使用低效的集合判空方法,JAVA
CAT-0010 代码风格,,CWD-1554 命名不合规约,"C,CPP,ARKTS"
CAT-0010 代码风格,,CWD-1559 注释不合规约,"C,CPP,JAVA,ARKTS"
CAT-0010 代码风格,,CWD-1565 格式不合规约,"C,CPP,TYPESCRIPT,ARKTS,PHP"
CAT-0011 代码度量,,CWD-1586 代码规模过大,"C,CPP,ARKTS"
CAT-0011 代码度量,,CWD-1587 超大目录,"C,CPP,ARKTS,MICROCODE"
CAT-0011 代码度量,,CWD-1588 文件行过大,"C,CPP,JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1592 文件重复,"C,CPP,JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1595 函数或方法行过大,"C,CPP,JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1598 代码重复,"C,CPP,JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1601 圈复杂度过大,"C,CPP,JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1604 代码嵌套深度过大,"C,CPP,JAVA,ARKTS,MICROCODE"
CAT-0011 代码度量,,CWD-1605 目录层级深度过大,"JAVA,ARKTS"
CAT-0011 代码度量,,CWD-1606 注释掉的代码块密度过大（代码度量：冗余代码）,"C,CPP,JAVA,ARKTS,MICROCODE"
CAT-0011 代码度量,,CWD-1607 编译告警密度过大,"C,CPP,ARKTS,MICROCODE"
CAT-0011 代码度量,,CWD-1608 不安全函数,"C,CPP,ARKTS,MICROCODE"
CAT-0011 代码度量,,CWD-1609 Halstead复杂度过大,"C,CPP,ARKTS"
CAT-0011 代码度量,,CWD-1610 扇入扇出过大,"C,CPP,ARKTS"
CAT-0012 架构度量,,CWD-1824 循环依赖-Cyclic Dependencies,"C,CPP,JAVA"
CAT-0012 架构度量,,CWD-1826 破坏稳定抽象原则-SAP Breakers,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1827 拒绝父类馈赠-Refused Parent Bequest,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1828 传统破坏者-Tradition Breaker,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1829 继承层次混乱-Distorted Hierarchy,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1830 上帝类-God Class,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1831 上帝文件-God File,"C,CPP"
